Admiral Trips	0,9	0,9	0,75	2
Azmodeus	0,5	0,5	0,5	5
Bonulus eruptus	0	0	0	10
Coccus innocuus	0,6	0,001	0,02	6
Endoictus	0,2	0,075	0,5	8
Hexapox	0,45	0,5	0,8	6
Influenza iutiubensis	1	0,05	1	1
Methanobrevibacter colferi	0,35	0,1	0,95	1
Moricillus ☠	0,25	0,8	0,5	3
N5-10	0,75	0,7	0,9	4
Neurodermantotitis	0,7	0,4	0,65	7
Phagum vidiianum	0,5	0,75	0,3	10
Plorps	0,65	0,25	0,4	8
Procrastinalgia	0,25	0,01	0	15
Rhinonitis	0,6	0,05	0,2	3
Saccharomyces cerevisiae mutans	0,4	0,2	0,6	4
Shanty	0,8	0,1	0,1	5
Xenomonocythemia	0,1	1	0	4
Φthisis	0,4	0,35	0,35	7
